,N,valid,fs8_fixed,fs8,e_fs8,sigv,e_sigv,sigu,e_sigu
0,1000,True,True,1.0,0.1,309.5297827712649,9.082344752241852,27.161469520262223,5.858472624633444
1,1000,True,False,1.0214337825266866,0.16115768004507086,309.62532799281684,9.310019413632546,28.12741492382503,8.708611851495128
2,2000,True,True,1.0,0.1,307.0541661552355,5.905596600481147,24.108336266836698,3.4746812467686023
3,2000,True,False,1.0206716042254487,0.09863056562598466,307.01775033880324,5.93240755512474,24.757365060745332,4.408035943988681
4,3000,True,True,1.0,0.1,307.8164487888052,4.717065149489713,22.85252718919068,2.4840541772577804
5,3000,True,False,0.9906069043285244,0.07531762892382737,307.84006734575416,4.738723090977771,22.593058157054255,3.0617810462687327
6,4000,True,True,1.0,0.1,301.2610603470284,4.063007265855106,19.589519500439778,1.9673326404468732
7,4000,True,False,1.021300736312688,0.07842989833454916,301.35803397494584,4.030335996358872,20.23159055631834,2.938653653148302
8,5000,True,True,1.0,0.1,315.26764170448314,3.570126128299563,23.14284297266166,1.9603882722423265
9,5000,True,False,0.9874131237257882,0.07363299597760353,315.2658712989246,3.569011895316521,22.80219753039977,2.7827890514718234
10,6000,True,True,1.0,0.1,304.2190045447226,3.157064239402388,20.687015828406928,1.5576810736953544
11,6000,True,False,0.9929151127375605,0.07216205846233464,304.22195058176857,3.1625485346564233,20.51111453972996,2.476240849803629
12,7000,True,True,1.0,0.1,305.2069707995043,2.920123430849003,20.185382350006705,1.4039444119229483
13,7000,True,False,0.9824273330414617,0.06508026982833748,305.2121521689208,2.9288717021641446,19.762263938710817,2.1668370476862755
14,8000,True,True,1.0,0.1,306.7703293474306,2.706359659749097,20.008255385183276,1.3042193297617928
15,8000,True,False,1.009081240283296,0.06622494935675677,306.7567686959253,2.705858551960489,20.21035260378751,2.0537253426723403
16,9000,True,True,1.0,0.1,303.50421080814357,2.525378633706225,19.495505844625264,1.1847705682719791
17,9000,True,False,1.0241777715893998,0.06436101169469033,303.5033521706847,2.5155798277864108,20.050939972754215,1.8756359060271368
